article_id,author,category,created_at,link,pub_date,title
AKR20260521127500054,장아름,사회,1779382953547,https://www.yna.co.kr/view/AKR20260521127500054,1779346522000,광주 교육계 스타벅스 불매 확산…각종 행사 사용 배제
AKR20260521136900051,차근호,사회,1779382953548,https://www.yna.co.kr/view/AKR20260521136900051,1779346327000,"부산 동래경찰서, 내성지하차도 지반침하 현장점검"
AKR20260521128500057,장영은,사회,1779382953549,https://www.yna.co.kr/view/AKR20260521128500057,1779346290000,"울산대 학생들, 울주군 방문해 지방행정 운영과정 체험"
AKR20260521137800004,이영섭,사회,1779382953551,https://www.yna.co.kr/view/AKR20260521137800004,1779346190000,[2보] '계엄 문건 위증' 조태용 前국정원장 징역 1년 6개월
AKR20260521137700052,김동민,사회,1779382953553,https://www.yna.co.kr/view/AKR20260521137700052,1779346056000,"[동정] 박종훈 경남교육감, 노무현 전 대통령 묘역 참배"
AKR20260521128700053,이승형,사회,1779382953554,https://www.yna.co.kr/view/AKR20260521128700053,1779346033000,"울릉도 여객선 준공영제 추진…""안정적 주민 교통수단 확보"""
AKR20260521080351052,박영민,사회,1779382953555,https://www.yna.co.kr/view/AKR20260521080351052,1779346004000,창원 도심서 흉기 들고 배회하다 시민 위협한 30대 구속 송치(종합)
AKR20260521136200054,전승현,사회,1779382953556,https://www.yna.co.kr/view/AKR20260521136200054,1779345922000,'안부도 묻고 밑반찬도 챙기고'…나주 '성북애찬' 눈길
AKR20260521131600062,강태현,사회,1779382953557,https://www.yna.co.kr/view/AKR20260521131600062,1779345904000,"강원대병원, 만성폐쇄성폐질환 환자 회복기 관리 효과 확인"
AKR20260521135700052,김선경,사회,1779382953557,https://www.yna.co.kr/view/AKR20260521135700052,1779345835000,"창원시, 고립·은둔청년 지원사업 '세상 밖으로 한 걸음' 추진"
AKR20260521135500055,임채두,사회,1779382953558,https://www.yna.co.kr/view/AKR20260521135500055,1779345729000,"전북도, 서남권 해상풍력 '마지막 퍼즐' 1GW 사업자 공개 모집"
AKR20260521135400004,김빛나,사회,1779382953558,https://www.yna.co.kr/view/AKR20260521135400004,1779345706000,'도이치주가조작 공범' 항소심도 징역형 집행유예·벌금 4천만원
AKR20260521133100054,박철홍,사회,1779382953559,https://www.yna.co.kr/view/AKR20260521133100054,1779345667000,[광주소식] 시민의 날에 '안전체험 한마당' 개최
AKR20260521133400051,김재홍,사회,1779382953560,https://www.yna.co.kr/view/AKR20260521133400051,1779345378000,3천400억원 불법 도박사이트 운영 가담한 일당 4명 실형
AKR20260521132900004,이영섭,사회,1779382953564,https://www.yna.co.kr/view/AKR20260521132900004,1779344943000,[1보] '국회 위증' 조태용 前국정원장 1심 징역 1년 6개월
AKR20260521131800004,최윤선,사회,1779382953565,https://www.yna.co.kr/view/AKR20260521131800004,1779344705000,"검찰, '김건희 측근' 이종호 사기 혐의 경찰에 보완수사 요구"
AKR20260521129800004,이영섭,사회,1779382953565,https://www.yna.co.kr/view/AKR20260521129800004,1779344552000,'통일교-김건희 청탁' 건진법사 징역 6년→5년…샤넬백 제출 반영
AKR20260521126700055,나보배,사회,1779382953566,https://www.yna.co.kr/view/AKR20260521126700055,1779344411000,방치된 건물만 노려 전선 '싹둑'…350㎏ 훔친 40대 덜미
